,sid,raw_label,timestamp,duration,label
0,1005,stand,2019-01-14 16:22:08.091,00:00:12,stand
1,1005,stand,2019-01-14 16:22:23.070,00:00:21,stand
2,1005,sit,2019-01-14 16:22:45.670,00:00:28,sit
3,1005,stand,2019-01-14 16:23:17.880,00:00:30,stand
4,1005,sleep,2019-01-14 16:24:02.593,00:00:31,sleep
5,1005,sit,2019-01-14 16:24:40.310,00:00:30,sit
6,1005,sleep,2019-01-14 16:25:15.979,00:00:31,sleep
7,1005,stand,2019-01-14 16:25:53.778,00:00:30,stand
8,1005,walk,2019-01-14 16:27:08.025,00:01:00,walk
9,1005,downstairs,2019-01-14 16:28:45.083,00:00:12,walk
10,1005,upstairs,2019-01-14 16:28:58.647,00:00:12,walk
11,1005,downstairs,2019-01-14 16:29:11.822,00:00:11,walk
12,1005,upstairs,2019-01-14 16:29:24.291,00:00:12,walk
