,sid,raw_label,timestamp,duration,label
0,1003,stand,2019-01-14 15:46:12.978,00:00:30,stand
1,1003,sit,2019-01-14 15:46:47.359,00:00:30,sit
2,1003,stand,2019-01-14 15:47:20.869,00:00:30,stand
3,1003,sleep,2019-01-14 15:48:11.689,00:00:30,sleep
4,1003,sit,2019-01-14 15:48:45.659,00:00:32,sit
5,1003,sleep,2019-01-14 15:49:24.555,00:00:30,sleep
6,1003,stand,2019-01-14 15:50:01.009,00:00:30,stand
7,1003,walk,2019-01-14 15:51:10.240,00:01:00,walk
8,1003,downstairs,2019-01-14 15:52:41.083,00:00:14,walk
9,1003,upstairs,2019-01-14 15:52:56.493,00:00:13,walk
10,1003,downstairs,2019-01-14 15:53:12.202,00:00:13,walk
11,1003,upstairs,2019-01-14 15:53:27.007,00:00:15,walk
