,sid,raw_label,timestamp,duration,label
0,1007,stand,2019-01-14 16:56:30.222,00:00:30,stand
1,1007,sit,2019-01-14 16:57:02.922,00:00:33,sit
2,1007,stand,2019-01-14 16:57:38.966,00:00:31,stand
3,1007,sleep,2019-01-14 16:58:21.678,00:00:30,sleep
4,1007,sit,2019-01-14 16:58:57.010,00:00:30,sit
5,1007,sleep,2019-01-14 16:59:32.452,00:00:30,sleep
6,1007,stand,2019-01-14 17:00:10.556,00:00:30,stand
7,1007,walk,2019-01-14 17:01:05.515,00:01:00,walk
8,1007,downstairs,2019-01-14 17:02:38.500,00:00:14,walk
9,1007,upstairs,2019-01-14 17:02:54.721,00:00:13,walk
10,1007,downstairs,2019-01-14 17:03:08.993,00:00:14,walk
11,1007,upstairs,2019-01-14 17:03:24.578,00:00:14,walk
