,sid,raw_label,timestamp,duration,label
0,1006,stand,2019-01-14 16:36:30.865,00:00:30,stand
1,1006,sit,2019-01-14 16:37:03.353,00:00:31,sit
2,1006,stand,2019-01-14 16:37:37.603,00:00:30,stand
3,1006,sleep,2019-01-14 16:38:14.173,00:00:30,sleep
4,1006,sit,2019-01-14 16:38:49.852,00:00:31,sit
5,1006,sleep,2019-01-14 16:39:24.904,00:00:33,sleep
6,1006,stand,2019-01-14 16:39:59.731,00:00:31,stand
7,1006,walk,2019-01-14 16:40:51.421,00:01:00,walk
8,1006,downstairs,2019-01-14 16:42:21.629,00:00:14,walk
9,1006,upstairs,2019-01-14 16:42:37.656,00:00:15,walk
10,1006,downstairs,2019-01-14 16:42:54.172,00:00:14,walk
11,1006,upstairs,2019-01-14 16:43:09.509,00:00:13,walk
