,sid,raw_label,timestamp,duration,label
0,1002,stand,2019-01-14 15:19:08.197,00:00:30,stand
1,1002,sit,2019-01-14 15:19:44.910,00:00:30,sit
2,1002,stand,2019-01-14 15:20:17.811,00:00:31,stand
3,1002,sleep,2019-01-14 15:21:05.156,00:00:30,sleep
4,1002,sit,2019-01-14 15:21:43.401,00:00:30,sit
5,1002,sleep,2019-01-14 15:22:18.797,00:00:30,sleep
6,1002,stand,2019-01-14 15:22:57.350,00:00:30,stand
7,1002,walk,2019-01-14 15:23:44.030,00:01:00,walk
8,1002,downstairs,2019-01-14 15:25:20.475,00:00:18,walk
9,1002,upstairs,2019-01-14 15:25:40.224,00:00:14,walk
10,1002,downstairs,2019-01-14 15:25:57.599,00:00:14,walk
11,1002,upstairs,2019-01-14 15:26:13.636,00:00:16,walk
