,sid,raw_label,timestamp,duration,label
0,1008,stand,2019-01-14 17:17:24.419,00:00:30,stand
1,1008,sit,2019-01-14 17:17:58.119,00:00:30,sit
2,1008,stand,2019-01-14 17:18:31.415,00:00:30,stand
3,1008,sleep,2019-01-14 17:19:15.476,00:00:30,sleep
4,1008,sit,2019-01-14 17:19:49.987,00:00:32,sit
5,1008,sleep,2019-01-14 17:20:26.674,00:00:31,sleep
6,1008,stand,2019-01-14 17:21:15.283,00:00:20,stand
7,1008,walk,2019-01-14 17:22:07.277,00:01:00,walk
8,1008,downstairs,2019-01-14 17:23:44.585,00:00:18,walk
9,1008,upstairs,2019-01-14 17:24:03.613,00:00:15,walk
10,1008,downstairs,2019-01-14 17:24:20.448,00:00:16,walk
11,1008,upstairs,2019-01-14 17:24:38.042,00:00:14,walk
