,sid,raw_label,timestamp,duration,label
0,1009,ยืน,2019-02-08 16:37:19.394,00:00:30,stand
1,1009,นั่ง,2019-02-08 16:37:53.442,00:00:31,sit
2,1009,ยืน,2019-02-08 16:38:28.945,00:00:30,stand
3,1009,นอน,2019-02-08 16:39:07.178,00:00:30,sleep
4,1009,นั่ง,2019-02-08 16:39:43.810,00:00:30,sit
5,1009,นอน,2019-02-08 16:40:21.363,00:00:30,sleep
6,1009,ยืน,2019-02-08 16:40:57.352,00:00:30,stand
7,1009,เดิน,2019-02-08 16:43:36.858,00:00:34,walk
8,1009,เดิน,2019-02-08 16:44:16.215,00:00:31,walk
9,1009,ขึ้นบันได,2019-02-08 16:45:18.383,00:00:21,upstairs
10,1009,ลงบันได,2019-02-08 16:45:43.819,00:00:18,downstairs
11,1009,ขึ้นบันได,2019-02-08 16:46:29.806,00:00:18,upstairs
12,1009,ลงบันได,2019-02-08 16:46:51.156,00:00:21,downstairs
13,1010,ยืน,2019-02-09 17:25:35.052,00:00:30,stand
14,1010,นั่ง,2019-02-09 17:26:08.283,00:00:30,sit
15,1010,ยืน,2019-02-09 17:26:40.537,00:00:30,stand
16,1010,นอน,2019-02-09 17:27:20.486,00:00:31,sleep
17,1010,นั่ง,2019-02-09 17:27:56.288,00:00:30,sit
18,1010,นอน,2019-02-09 17:28:32.855,00:00:30,sleep
19,1010,ยืน,2019-02-09 17:29:07.474,00:00:30,stand
20,1010,เดิน,2019-02-09 17:30:19.427,00:00:30,walk
21,1010,เดิน,2019-02-09 17:30:52.861,00:00:30,walk
22,1010,ขึ้นบันได,2019-02-09 17:48:09.928,00:00:14,upstairs
23,1010,ลงบันได,2019-02-09 17:48:25.729,00:00:12,downstairs
24,1010,ขึ้นบันได,2019-02-09 17:48:40.430,00:00:15,upstairs
25,1010,ลงบันได,2019-02-09 17:48:57.147,00:00:12,downstairs
26,1011,stand,2019-02-10 12:04:34.645,00:00:30,stand
27,1011,sit,2019-02-10 12:05:08.225,00:00:30,sit
28,1011,stand,2019-02-10 12:05:41.361,00:00:30,stand
29,1011,sleep,2019-02-10 12:06:31.512,00:00:30,sleep
30,1011,sit,2019-02-10 12:07:05.147,00:00:30,sit
31,1011,sleep,2019-02-10 12:07:40.383,00:00:30,sleep
32,1011,stand,2019-02-10 12:08:16.615,00:00:30,stand
33,1011,walk,2019-02-10 12:09:36.172,00:00:30,walk
34,1011,walk,2019-02-10 12:10:12.807,00:00:31,walk
35,1011,upstairs,2019-02-10 12:10:57.546,00:00:29,upstairs
36,1011,downstairs,2019-02-10 12:11:43.447,00:00:17,downstairs
37,1011,upstairs,2019-02-10 12:12:12.897,00:00:17,upstairs
38,1011,downstairs,2019-02-10 12:12:55.767,00:00:14,downstairs
39,1012,stand,2019-02-10 12:18:16.973,00:00:30,stand
40,1012,sit,2019-02-10 12:18:50.648,00:00:30,sit
41,1012,stand,2019-02-10 12:19:23.949,00:00:31,stand
42,1012,sleep,2019-02-10 12:20:00.850,00:00:30,sleep
43,1012,sit,2019-02-10 12:20:36.618,00:00:30,sit
44,1012,sleep,2019-02-10 12:21:10.038,00:00:30,sleep
45,1012,stand,2019-02-10 12:21:44.556,00:00:31,stand
46,1012,walk,2019-02-10 12:22:46.509,00:00:30,walk
47,1012,walk,2019-02-10 12:23:23.060,00:00:29,walk
48,1012,downstairs,2019-02-10 12:24:07.915,00:00:12,downstairs
49,1012,upstairs,2019-02-10 12:24:22.249,00:00:12,upstairs
50,1012,downstairs,2019-02-10 12:24:36.783,00:00:13,downstairs
51,1012,upstairs,2019-02-10 12:24:51.116,00:00:12,upstairs
